,Titles,Links
0,Russia says Black Sea grain deal ‘terminated’,https://www.aljazeera.com/news/liveblog/2023/7/17/russia-ukraine-updates-two-dead-in-crimean-bridge-emergency
1,What happened to the Crimea bridge and why is it important?,https://www.aljazeera.com/news/2023/7/17/crimea-bridge-attack-what-happened-why-is-the-bridge-important
2,Russia-Ukraine Black Sea grain deal: All you need to know,https://www.aljazeera.com/news/2023/7/17/russia-ukraine-black-sea-grain-deal-all-you-need-to-know
3,Erdogan open to meeting al-Assad but not to withdrawal from Syria,https://www.aljazeera.com/news/2023/7/17/erdogan-open-to-meeting-al-assad-but-not-to-withdrawal-from-syria
4,US needs more critical minerals. Can it be done responsibly?,https://www.aljazeera.com/news/longform/2023/7/17/us-needs-more-critical-minerals-can-it-be-done-responsibly
5,East Ukraine fighting ‘intensifies’ as Putin dismisses offensive,https://www.aljazeera.com/news/2023/7/16/east-ukraine-fighting-intensifies-as-putin-dismisses-offensive
6,Russia halts participation in Black Sea grain deal: Kremlin,https://www.aljazeera.com/news/2023/7/17/russia-halts-participation-in-black-sea-grain-deal-kremlin-2
7,"As Herzog visits US, advocates urge action against Israeli abuses",https://www.aljazeera.com/news/2023/7/17/as-herzog-visits-us-advocates-urge-action-against-israeli-abuses
8,"Inter Miami unveil Lionel Messi, sign Sergio Busquets",https://www.aljazeera.com/sports/2023/7/17/inter-miami-unveil-lionel-messi-sign-sergio-busquets
9,"Russia-Ukraine war: List of key events, day 509",https://www.aljazeera.com/news/2023/7/17/russia-ukraine-war-list-of-key-events-day-509
